real1,imag1,real2,imag2
0.01725350212985366,0.0054903700947761536,0.029718202798416526,0.0015011429786682129
0.02094953204574468,0.01361689209897976,0.05623116041602971,0.017328830957011987
0.013432184526585428,0.05089263684602119,0.025253096887730447,0.05767111546845771
0.026206303560932342,0.005080871284008026,0.033397220589282295,0.005284130573272705
0.02009706352352092,0.005440704524517059,0.14063322957342306,0.0009563565254211426
0.03397050802993595,0.004831686615943909,0.026706992397554474,0.004254534840583801
0.012686247985798982,0.0023630112409591675,0.09000736536992256,0.0059228986501693726
0.05940828734918269,0.005647508350590469,0.028497936966854653,0.004220096317509414
0.02731596180994811,0.30595463514328003,0.03009142779006624,0.3009394407272339
0.01221118617932454,0.025936670095377146,0.05149304617325917,0.010782904416971384
0.02693663861282869,0.005801044404506683,0.01204936064771922,0.0003559589385986328
0.04896181429952451,0.00348576158285141,0.0004861115665435456,0.0011145621538162231
0.004155160571112593,0.08249763183315229,0.003880979205145796,0.08357790641506146
0.024016987645963384,0.0037406012415885925,0.009816264749473946,0.0064525604248046875
0.01223682967233275,0.006430312991142273,0.02025464951949907,0.0011448115110397339
0.019840637524756177,0.03477803542867908,0.02918835512813689,0.029756344106352417
0.0020467482070611887,0.010314218699932098,0.025703448518413885,0.004864677786827087
0.07042240529076982,0.059272981119804946,0.057855611753297564,0.053320146036797134
0.059526093919251455,0.008261330425739288,0.07625893473261358,0.0010347068309783936
0.0020660463425680176,0.0007222741842269897,0.034265808836435596,0.0074028074741363525
0.07269085388110134,0.015205971896648407,0.03052559174210212,0.01696157455444336
1.66296828282902,0.038536034524440765,0.08992370251970527,0.003249436616897583
0.02295804928957801,0.010705053806304932,0.07266945010921955,0.0082930326461792
0.010390865035695418,0.00349406898021698,0.036626288117082906,0.0021067261695861816
0.05713832657992035,0.0072860270738601685,0.15490034658009932,0.0068726688623428345
0.029856877874900656,0.0024630446973663567,0.011803728986213846,0.005366625362954736
0.0189979485326931,0.0781631436858996,0.042071621780984114,0.063121851972185
0.021689062893246347,0.0033951461640364666,0.004682904064510995,0.016442960533238127
0.011598992855015089,0.0019097104668617249,0.06858586744470907,0.003841996192932129
0.029831806229964952,0.00789373368024826,0.0625619141142808,0.009229198098182678
0.014182637565392286,0.005831725895404816,0.021147129148762156,0.0006189942359924316
0.0169063751995171,0.0052796825766563416,0.02251074626318128,0.000506669282913208
0.15514628911957207,0.033797092735767365,0.015051308578937543,0.017598450183868408
0.003131104733606893,0.004484742879867554,0.03404327748328306,0.0011318027973175049
0.0031760921879172566,0.04525279701531626,0.02160447927280662,0.04730441869080759
0.054534119950446325,0.007490232586860657,0.08036861274640494,0.0005376189947128296
0.03063322744793895,8.324533700942993e-05,0.0004278704146873924,0.0018972456455230713
0.05655615317699325,0.05269164061290699,0.04892940533283341,0.04808086371166187
0.013165373130218205,0.016026318073272705,0.12467630617300696,0.020237237215042114
0.0330407928548303,0.021320141851902008,0.01023350421479119,0.0659923404455185
0.023008727979981103,0.003958344459533691,0.05700532655308843,0.003926098346710205
0.07043073031937919,0.0040740519762039185,0.013326329339771958,0.003935649991035461
0.02064889121350333,0.08410763740539551,0.012846373957600354,0.07290369272232056
0.08989148663563773,0.004463545978069305,0.021502230509020448,0.0017513930797576904
0.022262753638140675,0.0066314637660980225,0.003373972864638475,0.004054844379425049
0.02992818422943322,0.00199098140001297,0.02574219443735687,0.00192183256149292
0.23562145212645635,0.018719397485256195,0.10088795676654527,0.015820235013961792
0.02915701988107275,0.017993777990341187,0.057617949467391405,0.03118148446083069
0.03496909077802321,0.009231156756728032,0.0392450398620067,0.01231629317030225
0.07530154820264291,0.0005653390532793234,0.16762834999977638,0.006210852587825222
0.02573193036178778,0.00362309068441391,0.019348794687513937,0.001857757568359375
0.009135859231662482,0.03779563067414382,0.054304467658710213,0.04505857584931472
0.0695262429863962,0.004983991384506226,0.11171247905202053,0.004106312990188599
0.014710846131355284,0.009652003645896912,0.017687758105776608,0.015245512127876282
0.010973213323829611,0.0065862759947776794,0.011677657300023792,0.001153409481048584
0.04587661953472724,0.0070377312907593526,0.028427990956071708,0.010589452863635329
0.04834374418796916,0.004995465278625488,0.0018316332236156807,0.0015307962894439697
